SAMPLEID,PLOTID,geometry,centroid,long,lat
377065644,377065644,"POLYGON ((33.97189220180672 -10.217287585643065, 33.97189220180672 -10.21638787195777, 33.97280058402513 -10.21638787195777, 33.97280058402513 -10.217287585643065, 33.97189220180672 -10.217287585643065))",POINT (33.972346392915924 -10.216837718333801),33.972346392915924,-10.216837718333801
376980340,376980340,"POLYGON ((33.90436979613821 -10.279367871644363, 33.90436979613821 -10.278468157959068, 33.905278356315584 -10.278468157959068, 33.905278356315584 -10.279367871644363, 33.90436979613821 -10.279367871644363))",POINT (33.904824076226895 -10.278918004286147),33.904824076226895,-10.278918004286147
377098440,377098440,"POLYGON ((33.9597150893113 -10.308804655390325, 33.9597150893113 -10.30790494170503, 33.96062373426923 -10.30790494170503, 33.96062373426923 -10.308804655390325, 33.9597150893113 -10.308804655390325))",POINT (33.96016941179027 -10.308354788009005),33.96016941179027,-10.308354788009005
377682310,377682310,"POLYGON ((34.02234754724529 -11.08502852564341, 34.02234754724529 -11.084128811958134, 34.023258520434446 -11.084128811958134, 34.023258520434446 -11.08502852564341, 34.02234754724529 -11.08502852564341))",POINT (34.02280303383987 -11.084578657672608),34.02280303383987,-11.084578657672608
377026176,377026176,"POLYGON ((33.64817951994116 -11.124853043030773, 33.64817951994116 -11.123953329345497, 33.64909061741718 -11.123953329345497, 33.64909061741718 -11.124853043030773, 33.64817951994116 -11.124853043030773))",POINT (33.64863506867917 -11.124403175030807),33.64863506867917,-11.124403175030807
376586543,376586543,"POLYGON ((33.32696638839931 -11.360775432386058, 33.32696638839931 -11.359875718700788, 33.32787823189316 -11.359875718700788, 33.32787823189316 -11.360775432386058, 33.32696638839931 -11.360775432386058))",POINT (33.32742231014624 -11.360325564215449),33.32742231014624,-11.360325564215449
376442252,376442252,"POLYGON ((33.4198248576049 -10.846138927935048, 33.4198248576049 -10.845239214249766, 33.42073509518873 -10.845239214249766, 33.42073509518873 -10.846138927935048, 33.4198248576049 -10.846138927935048))",POINT (33.42027997639681 -10.845689060141455),33.42027997639681,-10.845689060141455
377288393,377288393,"POLYGON ((33.06008596516459 -13.267383169967168, 33.06008596516459 -13.266483456281945, 33.06100445683385 -13.266483456281945, 33.06100445683385 -13.267383169967168, 33.06008596516459 -13.267383169967168))",POINT (33.060545210999216 -13.266933300558845),33.060545210999216,-13.266933300558845
377970854,377970854,"POLYGON ((33.709142614726744 -12.474661288294705, 33.709142614726744 -12.47376157460946, 33.710058207303945 -12.47376157460946, 33.710058207303945 -12.474661288294705, 33.709142614726744 -12.474661288294705))",POINT (33.70960041101534 -12.474211419369931),33.70960041101534,-12.474211419369931
377406632,377406632,"POLYGON ((33.5519884808552 -12.028186728470903, 33.5519884808552 -12.027287014785648, 33.552902525508834 -12.027287014785648, 33.552902525508834 -12.028186728470903, 33.5519884808552 -12.028186728470903))",POINT (33.55244550318202 -12.02773685983807),33.55244550318202,-12.02773685983807
377006419,377006419,"POLYGON ((33.41327628558592 -11.789076506164834, 33.41327628558592 -11.788176792479575, 33.41418952617182 -11.788176792479575, 33.41418952617182 -11.789076506164834, 33.41327628558592 -11.789076506164834))",POINT (33.413732905878874 -11.788626637694113),33.413732905878874,-11.788626637694113
376842400,376842400,"POLYGON ((33.36523529760843 -11.664645546912121, 33.36523529760843 -11.663745833226859, 33.366148126609026 -11.663745833226859, 33.366148126609026 -11.664645546912121, 33.36523529760843 -11.664645546912121))",POINT (33.365691712108735 -11.664195678527275),33.365691712108735,-11.664195678527275
377163911,377163911,"POLYGON ((33.56442268538724 -11.598536392311708, 33.56442268538724 -11.597636678626447, 33.56533529761714 -11.597636678626447, 33.56533529761714 -11.598536392311708, 33.56442268538724 -11.598536392311708))",POINT (33.56487899150219 -11.598086523972919),33.56487899150219,-11.598086523972919
